libelle_organisation_niveau_07,employees,avg_sustainable_value_potential,avg_reliability_adjusted_potential,avg_absenteeism_risk,avg_learning_intensity,avg_kpi_reliability,high_absence_risk_share
BANKING OPERATIONS,2,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
BUSINESS IMPL & CIAL SUPPORT,2,0.4707130885572004,0.27446259253037525,0.06031360424028265,0.30368654311039484,0.3333333333333333,0.0
CORPORATE SECRETARY,2,0.565607251555709,0.565607251555709,0.1692137809187279,0.7499496373892023,0.6666666666666666,0.0
Business Units & Technology,2,0.40513249353340947,0.34542118515092207,0.35521201413427556,0.30469379532634966,0.5833333333333333,0.0
PERES Transversal,2,0.3869107738924727,0.312314996542691,0.7183966431095408,0.3049959709911362,0.5,0.5
LEGAL,2,0.5319791342731479,0.5319791342731479,0.13840547703180212,0.531426269137792,0.6666666666666666,0.0
Products Marketing,2,0.511935399806556,0.38395154985491703,0.7114178445229682,0.8611502820306205,0.5,0.5
Product Sales,2,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
Fund services,2,0.5140424960098473,0.3855318720073855,0.1409673144876325,0.13532433521353746,0.5,0.0
FUND DISTRIBUTION SERVICES,2,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
"Finance, Treasury and Admin",2,0.5611489847433077,0.4208617385574807,0.29308745583038864,0.527497985495568,0.5,0.0
Fund Distribution Services,2,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
Clearing Services,2,0.5473615745422031,0.4105211809066524,0.29953621908127204,0.7037167606768735,0.5,0.0
CC General Secretary,2,0.5259026192180678,0.39442696441355085,0.6395759717314488,0.9041599516518936,0.5,0.5
Data Governance,2,0.48425205787088554,0.41397181826401397,0.5079946996466431,0.6023368251410153,0.5833333333333333,0.5
BANKING SERVICES,2,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
IT Market Solutions,2,0.5116733555365989,0.38375501665244915,0.4895318021201413,0.6263094278807413,0.5,0.5
HUMAN RESOURCES,2,0.35713852410514113,0.160888028078316,0.4761263250883392,0.0932211925866237,0.3333333333333333,0.5
INVESTMENT MANAGEMENT SERVICES,2,0.509366869883973,0.4349943454964521,0.5297040636042403,0.7064363416599515,0.5833333333333333,0.0
IT Support Functions & PERES,2,0.3925009920536503,0.04906262400670629,0.0,0.0,0.08333333333333333,0.0
ETD Cash Eq Fix Inc & Clearing,1,0.6066961417785076,0.45502210633388074,0.3306978798586572,0.9306003223207092,0.5,0.0
